question,slug,status,row_count,error
What was the average spot price in each NEM region over the last 7 days?,what-was-the-average-spot-price-in-each-nem-region-over-the-last-7-days,ready,5,
Which region had the highest average spot price this week?,which-region-had-the-highest-average-spot-price-this-week,ready,1,
How volatile were 5-minute prices in each region over the past week?,how-volatile-were-5-minute-prices-in-each-region-over-the-past-week,ready,5,
What was the maximum spot price spike in each region in the last 30 days and when did it happen?,what-was-the-maximum-spot-price-spike-in-each-region-in-the-last-30-days-and-when-did-it-happen,ready,5,
How many intervals had negative spot prices in each region this month?,how-many-intervals-had-negative-spot-prices-in-each-region-this-month,error,1,"Received ClickHouse exception, code: 60, server response: Code: 60. DB::Exception: Unknown table expression identifier 'semantic.dispatch_price_vf_5' in scope SELECT * FROM semantic.dispatch_price_vf_5. (UNKNOWN_TABLE) (version 25.2.2.39 (official build)) (for url http://127.0.0.1:8123)"
What was the daily regional demand (MWh) over the last 7 days?,what-was-the-daily-regional-demand-mwh-over-the-last-7-days,error,1,"Received ClickHouse exception, code: 60, server response: Code: 60. DB::Exception: Unknown table expression identifier 'semantic.dregion_vf_3' in scope SELECT * FROM semantic.dregion_vf_3. (UNKNOWN_TABLE) (version 25.2.2.39 (official build)) (for url http://127.0.0.1:8123)"
Which region had the biggest demand forecast error each day in the last 30 days?,which-region-had-the-biggest-demand-forecast-error-each-day-in-the-last-30-days,ready,11,
What was the peak demand in each region this week and when did it occur?,what-was-the-peak-demand-in-each-region-this-week-and-when-did-it-occur,ready,5,
How does weekday demand compare to weekend demand by region?,how-does-weekday-demand-compare-to-weekend-demand-by-region,ready,10,
What is the average demand shape by hour of day for each region?,what-is-the-average-demand-shape-by-hour-of-day-for-each-region,ready,120,
Which DUIDs produced the most energy (MWh) yesterday?,which-duids-produced-the-most-energy-mwh-yesterday,ready,20,
Which DUIDs had the highest peak dispatch target in the last 24 hours?,which-duids-had-the-highest-peak-dispatch-target-in-the-last-24-hours,ready,20,
What was the SCADA output profile of the top 10 generators over the last day?,what-was-the-scada-output-profile-of-the-top-10-generators-over-the-last-day,ready,300,
Which generators were dispatched above 90% of their registered capacity?,which-generators-were-dispatched-above-90-of-their-registered-capacity,ready,50,
Which generators had the largest ramp rates in the last 24 hours?,which-generators-had-the-largest-ramp-rates-in-the-last-24-hours,ready,20,
How much energy did each fuel type produce by region over the last 7 days?,how-much-energy-did-each-fuel-type-produce-by-region-over-the-last-7-days,ready,16,
What share of generation came from renewables vs fossil fuels by region?,what-share-of-generation-came-from-renewables-vs-fossil-fuels-by-region,ready,6,
What was the solar generation curve yesterday by region?,what-was-the-solar-generation-curve-yesterday-by-region,ready,72,
What was the wind generation curve yesterday by region?,what-was-the-wind-generation-curve-yesterday-by-region,ready,72,
How much coal generation has dropped month-over-month by region?,how-much-coal-generation-has-dropped-month-over-month-by-region,limited,1,
How much energy did batteries send out (discharge) in each region over the last 7 days?,how-much-energy-did-batteries-send-out-discharge-in-each-region-over-the-last-7-days,proxy,4,
How much energy did batteries consume (charge) in each region over the last 7 days?,how-much-energy-did-batteries-consume-charge-in-each-region-over-the-last-7-days,proxy,4,
What was the average battery round-trip efficiency for each BESS DUID in the last 7 days?,what-was-the-average-battery-round-trip-efficiency-for-each-bess-duid-in-the-last-7-days,proxy,57,
Which batteries had the highest utilisation rate?,which-batteries-had-the-highest-utilisation-rate,proxy,20,
What was the peak charge and discharge rate for each battery DUID yesterday?,what-was-the-peak-charge-and-discharge-rate-for-each-battery-duid-yesterday,proxy,57,
How wide was the NSW-VIC price spread each day over the last week?,how-wide-was-the-nsw-vic-price-spread-each-day-over-the-last-week,ready,3,
Which interconnectors had the highest average flow in the last 7 days?,which-interconnectors-had-the-highest-average-flow-in-the-last-7-days,ready,6,
What was the average price spread across each interconnector pair?,what-was-the-average-price-spread-across-each-interconnector-pair,proxy,4,
When were interconnectors at their flow limit in the last 7 days?,when-were-interconnectors-at-their-flow-limit-in-the-last-7-days,proxy,116,
How correlated are prices between adjacent regions?,how-correlated-are-prices-between-adjacent-regions,ready,4,
What was the total FCAS cost by region and market over the last 7 days?,what-was-the-total-fcas-cost-by-region-and-market-over-the-last-7-days,proxy,40,
Which FCAS market had the highest average price this week?,which-fcas-market-had-the-highest-average-price-this-week,ready,8,
How much FCAS enablement did each region provide in the last 7 days?,how-much-fcas-enablement-did-each-region-provide-in-the-last-7-days,proxy,10,
Which DUIDs provided the most FCAS across all markets in the last day?,which-duids-provided-the-most-fcas-across-all-markets-in-the-last-day,proxy,20,
What is the ratio of FCAS price to energy price by region over time?,what-is-the-ratio-of-fcas-price-to-energy-price-by-region-over-time,proxy,15,
Which participants own the most registered generation capacity?,which-participants-own-the-most-registered-generation-capacity,ready,25,
How many DUIDs does each participant have and in which regions?,how-many-duids-does-each-participant-have-and-in-which-regions,ready,399,
What is the total registered capacity by fuel type in each region?,what-is-the-total-registered-capacity-by-fuel-type-in-each-region,ready,59,
Which stations have the largest installed capacity?,which-stations-have-the-largest-installed-capacity,ready,25,
How many batteries are registered in each region and what is their total capacity?,how-many-batteries-are-registered-in-each-region-and-what-is-their-total-capacity,ready,4,
What was the estimated gross merchant revenue for the top 20 generators this week?,what-was-the-estimated-gross-merchant-revenue-for-the-top-20-generators-this-week,proxy,20,
Which generators earned the most from high-price intervals?,which-generators-earned-the-most-from-high-price-intervals,proxy,0,
What was the approximate revenue per MWh for each fuel type?,what-was-the-approximate-revenue-per-mwh-for-each-fuel-type,proxy,11,
Which batteries had the highest estimated arbitrage revenue this week?,which-batteries-had-the-highest-estimated-arbitrage-revenue-this-week,proxy,20,
How does generator revenue correlate with capacity factor?,how-does-generator-revenue-correlate-with-capacity-factor,proxy,35,
What were the top 10 negative-price DUIDs (generators still running during negative prices)?,what-were-the-top-10-negative-price-duids-generators-still-running-during-negative-prices,ready,4,
How many dispatch intervals showed price separation between regions in the last 7 days?,how-many-dispatch-intervals-showed-price-separation-between-regions-in-the-last-7-days,ready,1,
Which constraints were most frequently binding in the last 30 days?,which-constraints-were-most-frequently-binding-in-the-last-30-days,ready,25,
What was the average constraint shadow price by constraint type?,what-was-the-average-constraint-shadow-price-by-constraint-type,proxy,188,
How did the dispatch engine's solution quality change over the last 30 days?,how-did-the-dispatch-engine-s-solution-quality-change-over-the-last-30-days,proxy,11,
What is the current installed solar capacity vs 12 months ago by region?,what-is-the-current-installed-solar-capacity-vs-12-months-ago-by-region,limited,6,
How has the wind generation share changed quarter-over-quarter?,how-has-the-wind-generation-share-changed-quarter-over-quarter,limited,1,
What is the monthly trend in battery registrations and capacity?,what-is-the-monthly-trend-in-battery-registrations-and-capacity,ready,20,
How has the demand profile shape changed year-over-year?,how-has-the-demand-profile-shape-changed-year-over-year,limited,120,
What is the trend in average daily price by region over the last 12 months?,what-is-the-trend-in-average-daily-price-by-region-over-the-last-12-months,limited,15,
How does actual generation compare to PASA forecast by fuel type?,how-does-actual-generation-compare-to-pasa-forecast-by-fuel-type,blocked,1,
What was the demand forecast error distribution for each region?,what-was-the-demand-forecast-error-distribution-for-each-region,ready,14550,
How accurate was the 5-minute pre-dispatch price forecast?,how-accurate-was-the-5-minute-pre-dispatch-price-forecast,proxy,210,
What was the 30-minute pre-dispatch forecast vs actual for each region?,what-was-the-30-minute-pre-dispatch-forecast-vs-actual-for-each-region,proxy,420,
How far ahead does the pre-dispatch forecast diverge significantly from actual?,how-far-ahead-does-the-pre-dispatch-forecast-diverge-significantly-from-actual,blocked,1,
What were the top 10 price events (highest 5-minute prices) in the last 30 days?,what-were-the-top-10-price-events-highest-5-minute-prices-in-the-last-30-days,ready,10,
What was the generation mix during each major price event?,what-was-the-generation-mix-during-each-major-price-event,proxy,22,
Which generators responded to price spikes and how quickly?,which-generators-responded-to-price-spikes-and-how-quickly,blocked,1,
Was there a correlation between demand forecast errors and price spikes?,was-there-a-correlation-between-demand-forecast-errors-and-price-spikes,ready,5,
Which region had the most frequent price cap events?,which-region-had-the-most-frequent-price-cap-events,ready,5,
How did generators change their bids day-over-day?,how-did-generators-change-their-bids-day-over-day,proxy,4958,
What is the typical bid structure for each fuel type?,what-is-the-typical-bid-structure-for-each-fuel-type,proxy,13,
How do battery bid prices compare to gas peaker bid prices?,how-do-battery-bid-prices-compare-to-gas-peaker-bid-prices,proxy,2,
Which generators rebid most frequently and why (volume changes)?,which-generators-rebid-most-frequently-and-why-volume-changes,proxy,25,
What was the average bid-weighted price by fuel type?,what-was-the-average-bid-weighted-price-by-fuel-type,proxy,13,
What is the approximate carbon intensity of generation by region over the last 7 days?,what-is-the-approximate-carbon-intensity-of-generation-by-region-over-the-last-7-days,proxy,4,
Which region has the lowest emissions intensity?,which-region-has-the-lowest-emissions-intensity,proxy,1,
How does emissions intensity change by hour of day?,how-does-emissions-intensity-change-by-hour-of-day,proxy,24,
What was the trend in emissions intensity month-over-month?,what-was-the-trend-in-emissions-intensity-month-over-month,limited,1,
How much CO2 was avoided by renewable generation vs the marginal generator?,how-much-co2-was-avoided-by-renewable-generation-vs-the-marginal-generator,blocked,1,
What is the minimum demand seen in each region and when does it typically occur?,what-is-the-minimum-demand-seen-in-each-region-and-when-does-it-typically-occur,ready,5,
How much rooftop PV is estimated in each region?,how-much-rooftop-pv-is-estimated-in-each-region,blocked,1,
What is the operational demand (grid demand minus rooftop PV) trend?,what-is-the-operational-demand-grid-demand-minus-rooftop-pv-trend,blocked,1,
When does each region typically reach net zero or negative operational demand?,when-does-each-region-typically-reach-net-zero-or-negative-operational-demand,blocked,1,
What is the overnight baseload demand by region?,what-is-the-overnight-baseload-demand-by-region,ready,5,
What was the total interconnector loss by flow direction this week?,what-was-the-total-interconnector-loss-by-flow-direction-this-week,proxy,9,
How do interconnector flows correlate with price differentials?,how-do-interconnector-flows-correlate-with-price-differentials,proxy,6,
What is the marginal loss factor distribution across all DUIDs?,what-is-the-marginal-loss-factor-distribution-across-all-duids,ready,245963,
How did actual interconnector flows compare to limits during peak demand?,how-did-actual-interconnector-flows-compare-to-limits-during-peak-demand,proxy,1,
What is the net export position of each region by hour?,what-is-the-net-export-position-of-each-region-by-hour,ready,1220,
How long did each generator run continuously in the last 7 days?,how-long-did-each-generator-run-continuously-in-the-last-7-days,blocked,1,
What was the capacity factor for each generator in the last 30 days?,what-was-the-capacity-factor-for-each-generator-in-the-last-30-days,limited,35,
Which generators had forced outages or sudden drops in output?,which-generators-had-forced-outages-or-sudden-drops-in-output,proxy,25,
How does actual output compare to registered capacity for intermittent generators?,how-does-actual-output-compare-to-registered-capacity-for-intermittent-generators,ready,17,
What is the average time to ramp from zero to max for gas peakers?,what-is-the-average-time-to-ramp-from-zero-to-max-for-gas-peakers,blocked,1,
What is the total market value of energy traded in each region per day?,what-is-the-total-market-value-of-energy-traded-in-each-region-per-day,proxy,55,
What was the weighted average price paid by load in each region?,what-was-the-weighted-average-price-paid-by-load-in-each-region,ready,5,
"How does the wholesale cost of electricity break down by component (energy, FCAS, losses)?",how-does-the-wholesale-cost-of-electricity-break-down-by-component-energy-fcas-losses,blocked,1,
What is the average daily settlement amount by region?,what-is-the-average-daily-settlement-amount-by-region,proxy,5,
How volatile is the daily market value compared to historical averages?,how-volatile-is-the-daily-market-value-compared-to-historical-averages,limited,5,
What is the daily demand-weighted price by region?,what-is-the-daily-demand-weighted-price-by-region,ready,55,
How does the time-weighted average price compare to the demand-weighted average price?,how-does-the-time-weighted-average-price-compare-to-the-demand-weighted-average-price,ready,1,
What is the implied value of storage for 2-hour and 4-hour batteries at current spreads?,what-is-the-implied-value-of-storage-for-2-hour-and-4-hour-batteries-at-current-spreads,proxy,15,
What was the cost of unserved energy by region?,what-was-the-cost-of-unserved-energy-by-region,blocked,1,
Which region had the most volatile intraday price swings?,which-region-had-the-most-volatile-intraday-price-swings,ready,5,
How many unique DUIDs were dispatched in each region yesterday?,how-many-unique-duids-were-dispatched-in-each-region-yesterday,ready,5,
What is the average number of generators online by hour of day?,what-is-the-average-number-of-generators-online-by-hour-of-day,ready,24,
Which semi-scheduled generators had the most curtailment?,which-semi-scheduled-generators-had-the-most-curtailment,proxy,25,
What is the correlation between gas prices and NEM electricity prices?,what-is-the-correlation-between-gas-prices-and-nem-electricity-prices,blocked,1,
"How does the NEM compare across regions in terms of price, demand, and generation mix?",how-does-the-nem-compare-across-regions-in-terms-of-price-demand-and-generation-mix,proxy,5,
What is the all-time minimum demand record for each region?,what-is-the-all-time-minimum-demand-record-for-each-region,limited,5,
What is the all-time maximum price record for each region and when did it occur?,what-is-the-all-time-maximum-price-record-for-each-region-and-when-did-it-occur,limited,5,
How has the number of registered DUIDs changed over the last 5 years?,how-has-the-number-of-registered-duids-changed-over-the-last-5-years,ready,6,
What is the seasonal demand pattern for each region?,what-is-the-seasonal-demand-pattern-for-each-region,limited,5,
How does summer peak demand compare to winter peak demand?,how-does-summer-peak-demand-compare-to-winter-peak-demand,limited,0,
What is the daytime (9am-5pm) vs nighttime (5pm-9am) average price by region?,what-is-the-daytime-9am-5pm-vs-nighttime-5pm-9am-average-price-by-region,ready,5,
How does the price volatility on weekdays compare to weekends?,how-does-the-price-volatility-on-weekdays-compare-to-weekends,ready,5,
What is the correlation between temperature and demand by region?,what-is-the-correlation-between-temperature-and-demand-by-region,blocked,1,
Which hours have the highest average prices by region?,which-hours-have-the-highest-average-prices-by-region,ready,20,
What is the rolling 7-day average price trend for each region?,what-is-the-rolling-7-day-average-price-trend-for-each-region,ready,15,
How many hours per week does each region spend above $100/MWh?,how-many-hours-per-week-does-each-region-spend-above-100-mwh,ready,10,
What is the average ramp rate required from dispatchable generators by hour?,what-is-the-average-ramp-rate-required-from-dispatchable-generators-by-hour,proxy,24,
How much frequency regulation FCAS is typically enabled by region?,how-much-frequency-regulation-fcas-is-typically-enabled-by-region,proxy,5,
What is the distribution of 5-minute price outcomes (histogram) by region?,what-is-the-distribution-of-5-minute-price-outcomes-histogram-by-region,ready,9,
What share of demand is met by local generation vs imports in each region?,what-share-of-demand-is-met-by-local-generation-vs-imports-in-each-region,proxy,5,
How does the SA generation mix differ from NSW?,how-does-the-sa-generation-mix-differ-from-nsw,ready,5,
Which region is most dependent on interconnector imports?,which-region-is-most-dependent-on-interconnector-imports,proxy,5,
How many MW of gas generation capacity is registered but rarely dispatched?,how-many-mw-of-gas-generation-capacity-is-registered-but-rarely-dispatched,proxy,5,
What is the current headroom (spare capacity) in each region at peak?,what-is-the-current-headroom-spare-capacity-in-each-region-at-peak,proxy,5,
